"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","1999",17697.491,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","1999",14493.763,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","1998",17568.975,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","1998",14065.264,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","1997",17536.783,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","1997",13910.136,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","1996",17822.255,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","1996",14018.747,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","1995",18116.044,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","1995",13828.903,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","1994",18244.508,,,,"Repository: ILO-STATISTICS - Micro data processing"
